step,train_loss,train_mean_token_accuracy,train_error_rate,valid_loss,valid_mean_token_accuracy,valid_error_rate,full_valid_loss,full_valid_mean_token_accuracy,full_valid_error_rate,timestamp
1,1.9246132373809814,0.6632692813873291,,,,,,,,2025-07-23T14:20:57.2260000Z
2,1.6672918796539307,0.6874158978462219,,,,,,,,2025-07-23T14:21:12.7440000Z
3,1.7154592275619507,0.7111266851425171,,,,,,,,2025-07-23T14:21:30.0800000Z
4,2.2180075645446777,0.5820895433425903,,,,,,,,2025-07-23T14:21:41.7050000Z
5,1.9032119512557983,0.6798418760299683,,,,,,,,2025-07-23T14:22:02.9320000Z
6,1.9274108409881592,0.6568407416343689,,,,,,,,2025-07-23T14:22:20.8670000Z
7,2.1056413650512695,0.6266666650772095,,,,,,,,2025-07-23T14:22:40.0000000Z
8,2.1313772201538086,0.6150943636894226,,,,,,,,2025-07-23T14:23:12.6420000Z
9,1.7803786993026733,0.6843471527099609,,,,,,,,2025-07-23T14:23:28.1780000Z
10,1.8840149641036987,0.6446319818496704,,,,,,,,2025-07-23T14:24:08.9220000Z
11,1.8454692363739014,0.6732575297355652,,,,,,,,2025-07-23T14:24:26.2640000Z
12,1.6306729316711426,0.6851211190223694,,,,,,,,2025-07-23T14:24:41.5050000Z
13,1.824666142463684,0.6809079051017761,,,,,,,,2025-07-23T14:24:57.9390000Z
14,2.0338096618652344,0.5948849320411682,,,,,,,,2025-07-23T14:25:12.8630000Z
15,1.7050020694732666,0.6686669588088989,,,,,,,,2025-07-23T14:25:29.2920000Z
16,1.3262237310409546,0.7081356048583984,,,,,,,,2025-07-23T14:25:46.3290000Z
17,1.6356369256973267,0.6563393473625183,,,,,,,,2025-07-23T14:26:02.1630000Z
18,1.2664626836776733,0.7296721935272217,,,,,,,,2025-07-23T14:26:13.2090000Z
19,1.3915890455245972,0.6822546720504761,,,,,,,,2025-07-23T14:26:29.0450000Z
20,1.346660852432251,0.6839253306388855,,,,,,,,2025-07-23T14:26:46.6730000Z
21,1.4512172937393188,0.6679121851921082,,,,,,,,2025-07-23T14:26:57.1030000Z
22,1.119326114654541,0.7391812801361084,,,,,,,,2025-07-23T14:27:14.7330000Z
23,1.2039711475372314,0.7028694748878479,,,,,,,,2025-07-23T14:27:26.6680000Z
24,1.2199673652648926,0.7184594869613647,,,,,,,,2025-07-23T14:27:42.5130000Z
25,1.4070661067962646,0.6477625370025635,,,,,,,,2025-07-23T14:27:58.6500000Z
26,0.9873915910720825,0.7588075995445251,,,,,,,,2025-07-23T14:28:11.1810000Z
27,0.9417944550514221,0.7519999742507935,,,,,,,,2025-07-23T14:28:26.7190000Z
28,0.9466185569763184,0.7387146353721619,,,,,,,,2025-07-23T14:28:43.1460000Z
29,0.9770048260688782,0.7386983036994934,,,,,,,,2025-07-23T14:28:59.5720000Z
30,1.1253589391708374,0.7254794239997864,,,,,,,,2025-07-23T14:29:14.5000000Z
31,0.9852005243301392,0.7372667789459229,,,,,,,,2025-07-23T14:29:30.9330000Z
32,0.7247354984283447,0.7965268492698669,,,,,,,,2025-07-23T14:29:47.9670000Z
33,1.1553983688354492,0.7076864838600159,,,,,,,,2025-07-23T14:30:03.2000000Z
34,1.1325836181640625,0.7117003202438354,,,,,,,,2025-07-23T14:30:20.2280000Z
35,1.0924028158187866,0.7103854417800903,,,,,,,,2025-07-23T14:30:37.2660000Z
36,0.9664418697357178,0.7275192141532898,,,,,,,,2025-07-23T14:30:53.4020000Z
37,0.991045355796814,0.7242624759674072,,,,,,,,2025-07-23T14:31:09.5370000Z
38,0.8372412323951721,0.7564102411270142,,,,,,,,2025-07-23T14:31:27.5240000Z
39,0.9316977858543396,0.7411988377571106,,,,,,,,2025-07-23T14:31:43.6590000Z
40,1.0973055362701416,0.694597065448761,,,,,,,,2025-07-23T14:31:56.8060000Z
41,0.9426524639129639,0.7255216836929321,,,,,,,,2025-07-23T14:32:12.9480000Z
42,0.9709272384643555,0.7393767833709717,,,,,,,,2025-07-23T14:32:29.4330000Z
43,0.9389474391937256,0.7304937839508057,,,,,,,,2025-07-23T14:32:46.1830000Z
44,0.8695793151855469,0.7488408088684082,,,,,,,,2025-07-23T14:33:03.5490000Z
45,0.7600045800209045,0.7801920175552368,,,,,,,,2025-07-23T14:33:15.7960000Z
46,0.790759265422821,0.7741804718971252,,,,,,,,2025-07-23T14:33:30.4650000Z
47,0.6467673778533936,0.8001776337623596,,,,,,,,2025-07-23T14:33:44.5110000Z
48,0.8045463562011719,0.7665857672691345,,,,,,,,2025-07-23T14:34:01.2960000Z
49,1.0714685916900635,0.6937069892883301,,,,,,,,2025-07-23T14:34:13.8340000Z
